ACCESSION_ID	CLADE	PANGO_LINEAGE	VARIANT	LOCATION	SUBMISSION_DATE
EPI_ISL_424344	G	B.1		Lazio 	2020-04-12
EPI_ISL_424343	G	B.1		Lazio 	2020-04-12
EPI_ISL_424342	G	B.1		Lazio 	2020-04-12
EPI_ISL_413489	G	B.1		Lombardy 	2020-03-05
EPI_ISL_417923	G	B.1		Lazio 	2020-03-27
EPI_ISL_417921	G	B.1		Lazio 	2020-03-27
EPI_ISL_417922	GR	B.1.1		Lazio 	2020-03-27
EPI_ISL_429874	G	B.1		Lombardy	2020-04-24
EPI_ISL_414599	O	None		Sardinia 	2020-03-07
EPI_ISL_428854	G	B.1		Friuli Venezia Giulia	2020-04-22
EPI_ISL_428853	G	B.1		Friuli Venezia Giulia	2020-04-22
EPI_ISL_429231	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429230	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429233	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429232	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429235	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429234	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429236	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429226	G	B.1		Abruzzo	2020-04-23
EPI_ISL_429228	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429227	GR	B.1.1		Abruzzo	2020-04-23
EPI_ISL_429229	G	B.1		Abruzzo	2020-04-23
EPI_ISL_418257	GR	B.1.1		Abruzzo	2020-03-29
EPI_ISL_418256	GR	B.1.1		Abruzzo	2020-03-29
EPI_ISL_418255	G	B.1		Abruzzo	2020-03-29
EPI_ISL_418259	GR	B.1.1		Abruzzo	2020-03-29
EPI_ISL_418258	GR	B.1.1		Abruzzo	2020-03-29
EPI_ISL_420569	GR	B.1.1		Abruzzo	2020-04-06
EPI_ISL_420566	GR	B.1.1		Abruzzo	2020-04-06
EPI_ISL_420565	GR	B.1.1		Abruzzo 	2020-04-06
EPI_ISL_420568	GR	B.1.1		Abruzzo	2020-04-06
EPI_ISL_420567	GR	B.1.1		Abruzzo 	2020-04-06
EPI_ISL_420564	G	B.1		Abruzzo 	2020-04-06
EPI_ISL_420563	G	B.1		Abruzzo 	2020-04-06
EPI_ISL_420592	GR	B.1.1		Abruzzo	2020-04-06
EPI_ISL_420583	GR	B.1.1		Abruzzo	2020-04-06
EPI_ISL_418261	GR	B.1.1		Abruzzo	2020-03-29
EPI_ISL_418260	G	B.1		Abruzzo	2020-03-29
EPI_ISL_406959	O	None		Lazio 	2020-01-31
EPI_ISL_406960	O	None		Lazio 	2020-01-31
EPI_ISL_417491	G	B.1		Marche	2020-03-26
EPI_ISL_417421	G	B.1		Friuli Venezia Giulia	2020-03-25
EPI_ISL_417423	G	B.1		Friuli Venezia Giulia	2020-03-25
EPI_ISL_417419	G	B.1		Friuli Venezia Giulia	2020-03-25
EPI_ISL_417418	G	B.1		Friuli Venezia Giulia	2020-03-25
EPI_ISL_417446	G	B.1		Lombardy 	2020-03-26
EPI_ISL_417447	G	B.1		Lombardy 	2020-03-26
EPI_ISL_417445	G	B.1		Lombardy 	2020-03-26
EPI_ISL_410546	V	B		Lazio 	2020-02-17
EPI_ISL_410545	O	B		Lazio 	2020-02-17
EPI_ISL_422437	GR	B.1.1		Veneto 	2020-04-10
EPI_ISL_422438	G	B.1		Veneto 	2020-04-10
EPI_ISL_412973	G	B.1		Lombardy	2020-03-01
EPI_ISL_412974	V	B		Lazio 	2020-03-01
EPI_ISL_408068	O	None		Lazio 	2020-02-07
EPI_ISL_419254	G	B.1		Lazio 	2020-04-01
EPI_ISL_419255	G	B.1		Lazio 	2020-04-01
EPI_ISL_435145	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435146	G	B.1		Abruzzo	2020-05-03
